Date,portfolio_returns,nasdaq_return
2021-12-01,-0.016416865962782246,-0.017159293158836242
2021-12-02,0.008046533515985832,-0.010101291846070004
2021-12-03,0.00027317874821708443,-0.027465736344962965
2021-12-06,0.024205305769363195,-0.019704007610276242
2021-12-07,0.05549154079393004,0.009380887599073962
2021-12-08,0.05672362168116374,0.013887181821863992
2021-12-09,0.04441138020611013,-0.001142453459594961
2021-12-10,0.05183306863288717,0.00965681944501906
2021-12-13,0.025097301387329463,-0.005035948340582408
2021-12-14,0.020987377936479756,-0.015387632503868875
2021-12-15,0.019407829808839816,0.006807068043932274
2021-12-16,0.02698257465817444,-0.01942133864006501
2021-12-17,0.01814350959513278,-0.0243259185080672
2021-12-20,-0.0038262979718022283,-0.03383630412904981
2021-12-21,0.030336264159675608,-0.012451839554575739
2021-12-22,0.03827320918152122,-0.0004974788671074926
2021-12-23,0.04394341886999409,0.007009582586912755
2021-12-27,0.05898852569238411,0.02351652362813539
2021-12-28,0.060151807637305765,0.018761740980383745
2021-12-29,0.05803230252521563,0.018609672602466265
2021-12-30,0.0578686716134551,0.015561282472304594
2021-12-31,0.062065223955902526,0.009199460174834417
2022-01-03,0.07390828467303856,0.01886825387897617
2022-01-04,0.08713338363851397,0.0055666727566514584
2022-01-05,0.08136760508233043,-0.02580986069370239
2022-01-06,0.07455381626163993,-0.02649462359068344
2022-01-07,0.09660888833908499,-0.03709786754190603
2022-01-10,0.090056112936163,-0.03646448165365934
2022-01-11,0.10087383570850084,-0.022097828189117208
2022-01-12,0.10998874759398292,-0.01822767217413035
2022-01-13,0.11314257049616483,-0.04310008547097677
2022-01-14,0.11248348382169793,-0.03716431888877003
2022-01-18,0.10350067150713937,-0.061436701850849595
2022-01-19,0.09091974964424843,-0.07180253690440341
2022-01-20,0.086323122167131,-0.08393727189725331
2022-01-21,0.061887614972939486,-0.10969714721925483
2022-01-24,0.05620824199469765,-0.10563097193235726
2022-01-25,0.04415966942358174,-0.12660771122557668
2022-01-26,0.04045766345771251,-0.12797551825170816
2022-01-27,0.033014227389787765,-0.13680156978642277
2022-01-28,0.0510561814317545,-0.11013989297644511
2022-01-31,0.07460137418241897,-0.08212922512244081
2022-02-01,0.09291746267230128,-0.07590560085683384
2022-02-02,0.10764198938474534,-0.06842709250525425
2022-02-03,0.08705596028634077,-0.10698398372616413
2022-02-04,0.08901388828567991,-0.09578895784342256
2022-02-07,0.0929669484129505,-0.10309213720012189
2022-02-08,0.11689276603688104,-0.0930713923917248
2022-02-09,0.14902349205818544,-0.07405371870882038
2022-02-10,0.12562460961183164,-0.09525121218584687
2022-02-11,0.09080425046356488,-0.12441634626463927
2022-02-14,0.09204647585179249,-0.12333203765767331
2022-02-15,0.12328261479872515,-0.10180119836227541
2022-02-16,0.12196317903640796,-0.10202823741160472
2022-02-17,0.09713226441109213,-0.12914253841217072
2022-02-18,0.09491189104501485,-0.1391322681546321
2022-02-22,0.09290159980601498,-0.14782218638242695
2022-02-23,0.06509005226812037,-0.16993523912872788
2022-02-24,0.08923822803804926,-0.14249975147034488
2022-02-25,0.12082834137990717,-0.12930446744435486
2022-02-28,0.1156569073281839,-0.12671490687363018
2022-03-01,0.12748305179227404,-0.14018935658919118
2022-03-02,0.14533344098065015,-0.12588197776375132
2022-03-03,0.14487318702317942,-0.1384586248821198
2022-03-04,0.19095321353090977,-0.15103543470142577
2022-03-07,0.13420525365861025,-0.18293804790216828
2022-03-08,0.13850910713833442,-0.18674465678257557
2022-03-09,0.16396800713935566,-0.15798377673720632
2022-03-10,0.16882376509460362,-0.16738649239919268
2022-03-11,0.15782316375064798,-0.1848349292473357
2022-03-14,0.13393382510836327,-0.200642620629771
2022-03-15,0.14129930010333558,-0.1759542247158069
2022-03-16,0.1519761645704214,-0.14594627092324153
2022-03-17,0.19496764218272622,-0.13566876398104466
2022-03-18,0.18686152201725115,-0.11815644670185466
2022-03-21,0.21749253113921396,-0.12061151997643216
2022-03-22,0.21658746306033994,-0.10349682220615464
2022-03-23,0.2101707649530744,-0.1164741651611021
2022-03-24,0.21802383990182883,-0.09705146613275628
2022-03-25,0.22785814393284265,-0.0978050472898131
2022-03-28,0.2085472013440961,-0.08395270881069217
2022-03-29,0.2212044586738411,-0.0683218952615382
2022-03-30,0.22626055313030324,-0.07867012078497293
2022-03-31,0.21640688897647675,-0.0901610326708937
2022-04-01,0.22918205527628244,-0.09189421876999482
2022-04-04,0.23009328401293105,-0.07338771643146613
2022-04-05,0.2177858084533153,-0.09419413022664658
2022-04-06,0.22331417442824275,-0.11407718288595181
2022-04-07,0.25137943611705715,-0.11197299891564338
2022-04-08,0.24871575729117312,-0.12447442724764113
2022-04-11,0.24007411104307663,-0.1454359503242998
2022-04-12,0.22358865797254146,-0.14905356638386014
2022-04-13,0.23180456721292875,-0.13192992961580252
2022-04-14,0.22437815341446554,-0.15201054749180642
2022-04-18,0.20981594783584634,-0.15135926514346143
2022-04-19,0.21738139370924925,-0.1326004821664477
2022-04-20,0.21981307488173485,-0.1453441016514907
2022-04-21,0.19711783640085834,-0.16321340140428853
2022-04-22,0.1680725248988979,-0.1854172213222578
2022-04-25,0.17406948549824142,-0.17501993248020264
2022-04-26,0.1612217429568843,-0.20676175672487884
2022-04-27,0.16909103745001564,-0.20771289998380404
2022-04-28,0.1961228236409449,-0.18006222873627964
2022-04-29,0.1630326779141975,-0.21781407204978787
2022-05-02,0.18189339376485458,-0.20486267253656032
2022-05-03,0.1945282583579857,-0.2040144008154161
2022-05-04,0.24538675903194762,-0.1775452441547558
2022-05-05,0.19586984206865732,-0.22004694404446912
2022-05-06,0.1997361170863794,-0.2294478074202717
2022-05-09,0.13258791810952375,-0.2602028594507515
2022-05-10,0.14248359506945318,-0.2512693951986814
2022-05-11,0.13241782106877675,-0.27381145086594594
2022-05-12,0.12962303603675762,-0.27553039282016345
2022-05-13,0.16890047673034703,-0.24916719543105426
2022-05-16,0.16987874778753342,-0.2579213786226393
2022-05-17,0.20320882284262987,-0.23894527366521812
2022-05-18,0.15583632632086264,-0.2772537821604836
2022-05-19,0.15340652767047036,-0.2811369045344321
2022-05-20,0.1561749714883438,-0.28337449337869836
2022-05-23,0.17617340857993113,-0.2715569392649897
2022-05-24,0.16379609741016754,-0.28721226934105815
2022-05-25,0.1812018188369846,-0.27730574248373985
2022-05-26,0.20814135696738867,-0.2575542279647639
2022-05-27,0.22771104511750617,-0.23370822374396016
2022-05-31,0.2161560238589335,-0.23574383623550055
2022-06-01,0.21041804849899504,-0.24141705290263726
2022-06-02,0.2509425808054979,-0.22092237937356496
2022-06-03,0.23360874301072632,-0.24146156579920475
2022-06-06,0.24400471443494864,-0.2389390667692577
2022-06-07,0.25564284539658755,-0.23240270408478592
2022-06-08,0.22689977963208463,-0.2379465723506916
2022-06-09,0.189124593583758,-0.25863639351810264
2022-06-10,0.15512638268215162,-0.285256835142526
2022-06-13,0.09879148011716143,-0.31928705921591327
2022-06-14,0.09272727669788305,-0.318052517835303
2022-06-15,0.10024503212360458,-0.3012321829406087
2022-06-16,0.04239700229605092,-0.33000939232982185
2022-06-17,0.03477612412591946,-0.32191177952770034
2022-06-21,0.05431367394466835,-0.30501632985052474
2022-06-22,0.030059544200571997,-0.3060306612332234
2022-06-23,0.005549198247417619,-0.29577158424661454
2022-06-24,0.050990660211142735,-0.2720463444120216
2022-06-27,0.04231142672054511,-0.27740305142485855
2022-06-28,0.02769792945259253,-0.29976069568340036
2022-06-29,0.011261703169521242,-0.29911898079687027
2022-06-30,-0.0001808618600205314,-0.3078664770011521
2022-07-01,0.0035740868631466416,-0.30331292510746777
2022-07-05,-0.011426507242872197,-0.2914867512160385
2022-07-06,-0.004192450629101785,-0.2869582592775467
2022-07-07,0.020876447540269627,-0.27186090419436204
2022-07-08,0.006326283298770274,-0.2709481341292723
2022-07-11,-0.005331236245645576,-0.2866925918529557
2022-07-12,-0.019122525186885952,-0.29363635743296523
2022-07-13,-0.022215156040743422,-0.29509376847148616
2022-07-14,-0.041566094332125436,-0.2925813479797086
2022-07-15,-0.028797201562759,-0.27986422660751864
2022-07-18,-0.021451770980194906,-0.2859844128966642
2022-07-19,0.0065252038394425504,-0.2643570411256788
2022-07-20,0.016337156714463896,-0.252783655681562
2022-07-21,0.022671308370381116,-0.2421337524695104
2022-07-22,0.009676277686224255,-0.2555410011185416
2022-07-25,0.012297408524721387,-0.25979326655892454
2022-07-26,0.0023766995851157713,-0.27448221568847087
2022-07-27,0.030929884883368786,-0.2444521166254472
2022-07-28,0.04012517881080169,-0.23710030691259876
2022-07-29,0.06057781601367762,-0.22331273900402615
2022-08-01,0.050088525483947155,-0.2237807499793404
2022-08-02,0.03771556156336131,-0.22609865390214412
2022-08-03,0.0567037285557499,-0.20530501378438326
2022-08-04,0.05379361690336215,-0.20159718546971073
2022-08-05,0.0615458314379973,-0.2081462214701807
2022-08-08,0.05622950876998489,-0.21070989819939867
2022-08-09,0.0545745370662003,-0.2196944513854613
2022-08-10,0.07933185779128626,-0.19821374635215827
2022-08-11,0.07847589745336125,-0.20277780859065553
2022-08-12,0.09154234509162418,-0.1874045924867237
2022-08-15,0.10015698824394104,-0.18086415614907236
2022-08-16,0.1036605179361767,-0.18278485553948465
2022-08-17,0.11200324355571589,-0.19215960783272368
2022-08-18,0.10319661124863422,-0.19021905530325411
2022-08-19,0.08705714382980201,-0.2061634905832883
2022-08-22,0.06987802833575851,-0.22734292207254403
2022-08-23,0.06580836495377906,-0.22798213881573437
2022-08-24,0.07069065414298681,-0.22574884827380048
